전체,살인,강도,절도,폭력,성폭력,주소,위도,경도,지구대,관할구역
4,2,4,3,2,5,서울 마포구 창전동 독막로22길 8,37.547499,126.929153,서강,"창전동, 상수동, 당인동, 신정동, 구수동, 하중동, 노고산동, 대흥동, 서교동, 대흥로, 대흥로21길, 대흥로25길, 대흥로27길, 고산길, 고산11길, 고산14길, 고산16길, 고산17길, 고산18길, 와우산로1길, 와우산로3길, 와우산로3안길, 와우산로5길, 와우산로7길, 와우산로10길, 와우산로11길, 와우산로13길, 와우산로14길, 와우산로22길, 와우산로24길, 와우산로26길, 와우산로30길, 와우산로32길, 와우산로38길, 와우산로39길, 어울마당로2길, 서강로9길, 서강로11길, 서강로13길, 서강로14길, 서강로16길, 서강로18길, 서강로20길"
5,4,5,4,4,5,서울 마포구 서교동 491,37.552095,126.913356,홍익,"서교동, 합정동, 동교동, 홍익로26, 홍익로6길"
3,1,3,2,3,3,서울 마포구 망원동 398-1,37.554551,126.902749,망원,"망원1동, 망원2동"
3,4,4,3,3,4,서울 영등포구 경인로 759,37.5135516,126.897605,문래,"문래동, 도림동, 영등포본동, 도신로29길, 도신로29아길, 영신로9길, 영신로9라길, 영신로1가길, 영신로1길, 영신로19길, 영신로9마길, 영신로9나길, 영신로9가길, 영신로11길, 영신로13길, 영신로15길, 영신로17길"
3,4,4,3,3,4,서울 영등포구 경인로102길 13,37.5153424,126.905712,영등포역,"영등포동, 영등포로60길33, 영등포로62길, 영등포로62길31, 영신로, 영신로8길, 영신로10길, 영신로11길, 영신로13길, 영신로15길, 영신로19길, 영신로20길, 신길로61-21, 신길로22-1, 신길로227, 신길로229, 신길로231-3, 신길로231-5, 신길로231-7, 신길로231-8, 신길로231-6, 신길로231-4, 신길로231, 신길로233, 신길로235, 신길로237, 신길로225, 신길로250, 신길로250-2, 신길로250-3, 신길로250-1, 신길로250-5, 신길로252, 신길로276, 신길로60길4, 신길로60나길9, 신길로61길, 신길로62길, 영등포동1가, 영등포동4가"
2,1,3,2,2,1,서울 영등포구 당산로 221,37.5335929,126.901265,당산,"당산2동, 당산동6가, 양평로12길, 양평로12가길, 선유로52길, 선유로54길, 당산로46길, 당산로46가길, 당산로47, 당산로49길, 당산로50길, 당산로51길, 당산로52길, 당산로54길, 양평2동, 양평동3가, 양화동, 올림픽대로, 노들로"
3,5,2,3,4,2,서울 영등포구 대림로 197,37.4983161,126.898056,대림3,대림3동
5,5,4,4,5,4,서울 영등포구 대림로23길 16-1,37.4934062,126.898707,대림,"대림1동, 대림2동"
3,3,2,3,5,3,서울 영등포구 대방천로 195,37.4991209,126.912767,신풍,"신길3동, 신길5동, 신길6동, 신길7동, 가마산로540, 가마산로544, 가마산로546, 가마산로548, 가마산로550, 가마산로552, 가마산로554, 가마산로556, 가마산로558, 가마산로560, 가마산로562, 가마산로564, 가마산로566, 가마산로568, 가마산로569, 가마산로570, 가마산로571, 가마산로572, 가마산로573, 가마산로574, 가마산로575, 가마산로576, 가마산로577, 가마산로578, 가마산로579, 가마산로580, 가마산로581, 가마산로582, 가마산로583, 가마산로584, 가마산로585, 가마산로586, 가마산로587, 가마산로588, 가마산로88길, 가마산로90길, 가마산로82길, 여의대방로161, 여의대방로163, 여의대방로165, 여의대방로169, 여의대방로171, 여의대방로173, 여의대방로175,여의대방로177, 여의대방로179, 여의대방로181, 여의대방로183, 여의대방로185, 여의대방로187, 여의대방로189, 여의대방로35길, 여의대방로35가길, 여의대방로39길, 여의대방로39가길, 신풍로17길"
4,5,3,3,4,5,서울 영등포구 선유로 95,37.5226985,126.889685,양평,"양평동1가, 양평동2가, 양평동3가, 선유서로31길, 선유서로32길, 선유서로34길, 선유서로35길, 선유로33길, 선유로35길, 양산로1길, 양산로3길, 양산로7길, 양산로9길, 국회대로22길, 당산동1가, 당산동2가, 당산동3가"
4,4,3,5,4,4,서울 영등포구 신길로60다길 16,37.5134659,126.914119,신길,"신길1동, 신길2동, 신길4동, 신길7동, 가마산로89길, 여의대방로43길, 여의대방로43가길, 여의대방로47가길, 여의대방로249, 여의대방로55길, 여의대방로61길, 여의대방로43길"
4,2,2,3,3,5,서울 영등포구 여의공원로 120,37.5281241,126.925754,여의도,여의도동
5,5,5,4,3,5,서울 영등포구 영등포로46길 14,37.5180018,126.907519,중앙,"영등포동1가, 영등포동2가, 영등포동3가, 영등포동4가, 영등포동5가, 영등포동6가, 영등포동7가, 영등포동8가, 당산동"
4,1,1,5,5,4,서울 중구 태평로1가 세종대로 141,37.568896,126.97644,세종로,"세종로동, 세종대로159, 세종대로161, 세종대로163, 세종대로167, 세종대로169, 세종대로175, 세종대로189, 세종대로209, 세종대로23길, 도렴동, 새문안로9길, 세종대로지하172, 당주동, 새문안로5길, 새문안로7길, 새문안로2길, 새문안로68, 새문안로76, 새문안로82, 새문안로92, 새문안로96, 새문안로101, 새문안로103, 새문안로103-5, 새문안로105, 신문로1가, 세종대로21길, 신문로2가, 새문안로38, 새문안로42, 새문안로46, 새문안로50, 새문안로58, 세종대로141"
4,1,3,4,5,5,서울 중구 다동 48,37.567998,126.979966,태평로,"남대문로1가, 다동, 무교동, 을지로1가, 을지로2가, 을지로51, 을지로65, 을지로79, 을지로5길, 을지로지하58, 을지로지하88, 삼각동, 수하동, 장교동, 삼일대로363, 삼일대로13길, 청계천로86, 태평로1가, 세종대로지하101, 남대문로2가, 남대문로55, 남대문로67, 남대문로73, 남대문로지하72, 남대문로3가, 남대문로17, 남대문로17-1, 남대문로19-1, 남대문로19-2, 남대문로21, 남대문로21-1, 남대문로23, 남대문로23-1, 남대문로25, 남대문로25-1, 남대문로25-2, 남대문로25-6, 남대문로27, 남대문로27-1, 남대문로27-2, 남대문로29, 남대문로29-1, 남대문로29-2, 남대문로39, 남대문로지하14, 남대문로4가, 남대문로5, 남대문로7, 남대문로9, 남대문로11, 남대문로15, 남대문로1길, 세종대로50, 세종대로58, 세종대로62, 세종대로12길, 북창동, 태평로2가"
3,1,2,4,1,2,서울 중구 신당동 100,37.564998,127.016402,신당,"신당5동, 동화동"
5,2,4,2,2,4,서울 중구 신당동 250-10,37.565225,127.013381,광희,"다산로253, 다산로253-1, 다산로255, 다산로255-1, 다산로257, 다산로259, 다산로259-1, 다산로지하260, 다산로261, 다산로263-1, 다산로263, 다산로265, 다산로269, 다산로293 , 다산로47길, 퇴계로320, 퇴계로322, 퇴계로324, 퇴계로326, 퇴계로326-3, 퇴계로326-4, 퇴계로326-6, 퇴계로328, 퇴계로328-1, 퇴계로330, 퇴계로330-1, 퇴계로336, 퇴계로336-1, 퇴계로336-3, 퇴계로336-5, 퇴계로336-7, 퇴계로336-8, 퇴계로336-10, 퇴계로336-12, 퇴계로336-17, 퇴계로336-21, 퇴계로336-23, 퇴계로337, 퇴계로338, 퇴계로338-1, 퇴계로338-2, 퇴계로338-3, 퇴계로340, 퇴계로340-1, 퇴계로342, 퇴계로385, 퇴계로387, 퇴계로393, 퇴계로393-1, 퇴계로397, , 퇴계로27길, 퇴계로73길, 퇴계로75길, 장충단로지하162, 장충단로지하230, 장충단로지하204, 장충단로지하212, 장충단로지하212-1 장충단로8길, 장충단로8가길, 장충단로8나길, 장충단로10길, 퇴계로62길, 퇴계로64길, 퇴계로66길, 퇴계로68길, 무학동, 황학동, 다산로46길, 다산로48길, 다산로258, 다산로274, 퇴계로403, 퇴계로405, 퇴계로407, 퇴계로409, 퇴계로409-9, 퇴계로409-10, 퇴계로409-11, 퇴계로409-18, 퇴계로411, 퇴계로411-6, 퇴계로411-9, 퇴계로411-11, 퇴계로411-13, 퇴계로411-15, 퇴계로411-17, 퇴계로411-19, 퇴계로411-21, 퇴계로411-23, 퇴계로411-26, 퇴계로411-32, 퇴계로411-34, 퇴계로413, 퇴계로413-1, 퇴계로413-2, 퇴계로415, 417퇴계로81길, 퇴계로81가길"
3,3,1,2,1,4,서울 중구 신당동 844-3,37.552156,127.012393,약수,"약수동, 청구동, 다산동"
5,2,4,4,4,4,서울 중구 봉래동2가 122-17,37.556796,126.97155,서울역,"남대문로5가, 봉래동1가, 봉래동2가, 순화동, 칠패로26, 칠패로28, 칠패로30, 칠패로30-1, 의주로2가, 칠패로6, 칠패로8, 칠패로8-1, 칠패로10, 칠패로14, 칠패로14-1, 칠패로14-2, 칠패로16, 통일로40, 통일로40-1, 통일로42"
3,3,2,3,4,3,서울 중구 중림동 273-1,37.557811,126.967111,중림,"만리동1가, 만리동2가, 의주로2가, 중림동"
1,1,1,1,1,2,서울 중구 서소문동 서소문로 133,37.563838,126.97556,서소문,"남대문로4가, 세종대로39, 봉래동1가, 칠패로37, 서소문동, 순화동, 의주로1가, 정동, 충정로1가, 태평로1가, 세종대로119, 세종대로125, 세종대로135, 세종대로135-5, 세종대로135-7, 세종대로135-9, 태평로2가, 덕수궁길5, 덕수궁길7, 덕수궁길9, 세종대로9길, 서소문로134-5, 서소문로134-7, 서소문로136, 서소문로138"
3,1,2,4,4,4,서울 중구 명동2가 50-13,37.5636,126.98393,명동,"남대문로2가, 남산동1가, 남산동2가, 남산동3가, 명동1가, 명동2가, 예장동, 소파로89, 소파로91, 소파로91-1, 소파로91-3, 소파로91-7, 소파로91-9, 소파로91-10, 소파로91-11, 소파로91-13, 소파로93, 소파로95, 소파로97, 소파로103, 소파로105-1, 소파로107, 퇴계로20나길, 을지로2가, 저동1가, 명동길79, 명동길81, 명동길83, 명동길85, 명동길87, 명동길87-5, 명동길87-6, 명동길87-8, 명동길89, 명동길89-1, 명동길89-2, 명동길89-3, 명동길91, 명동길91-1, 명동길93, 명동13길, 삼일대로339, 삼일대로339-3, 삼일대로339-5, 삼일대로341, 삼일대로343, 삼일대로9길, 충무로1가, 충무로2가, 회현동1가, 소공로6가길, 소파로83, 퇴계로18길, 회현동2가, 회현동3가"
3,1,3,4,1,3,서울 중구 을지로3가 291-50,37.566154,126.992859,을지로3가,"저동2가, 초동, 수표동, 입정동, 산림동, 삼일대로340, 삼일대로8길, 삼일대로12길, 퇴계로212, 퇴계로217, 퇴계로222, 퇴계로227-1, 퇴계로227-2, 퇴계로229, 퇴계로27길, 퇴계로41길, 퇴계로41가길, 수표로1, 수표로5, 수표로6, 수표로7, 수표로9, 수표로10, 수표로11, 수표로12, 수표로13, 수표로17, 수표로18, 수표로19, 수표로20, 수표로20-1, 수표로22, 수표로22-4, ,수표로22-6, 수표로22-12, 수표로22-14, 수표로23, 수표로23-15, 수표로33, 수표로6길, 충무로12, 충무로14, 충무로17, 충무로17-1, 충무로18, 충무로18-1, 충무로18-2, 충무로18-3, 충무로19, 충무로19-1, 충무로20, 충무로20-1, 충무로21, 충무로21-1, 충무로21-3, 충무로2318-2, 충무로2길, 마른내로2길, 마른내로6길, 마른내로4길, 마른내로8길, 마른내로10길, 창경궁로지하51, 창경궁로지하7, 창경궁로지하9, 창경궁로지하11, 창경궁로지하11-3, 창경궁로지하55, 창경궁로지하55-1, 창경궁로지하55-2, 창경궁로지하57, 창경궁로지하63, 창경궁로지하63-1, 창경궁로지하63-2, 창경궁로지하65, 창경궁로지하65-1, 창경궁로지하65-2, 창경궁로지하65-3, 창경궁로지하67, 창경궁로지하67-2, 창경궁로지하67-5, 창경궁로지하67-6, 창경궁로지하67-7, 창경궁로지하67-8, 창경궁로지하67-9, 창경궁로지하67-10, 창경궁로지하67-11, 창경궁로지하67-12, 창경궁로지하67-13, 창경궁로지하67-15, 창경궁로1길, 창경궁로5가길, 을지로지하106, 청계천로170, 청계천로170-1, 청계천로172, 청계천로172-1, 청계천로174, 청계천로174-1, 청계천로176, 청계천로176-1, 청계천로176-2, 청계천로176-3, 청계천로178, 청계천로178-1, 청계천로180, 청계천로180-1, 청계천로180-2, 청계천로182, 을지로3가, 을지로4가, 인현동1가, 인현동2가, 예관동"
4,1,2,3,1,5,서울 중구 을지로5가 72-1,37.566463,127.00391,을지,"방산동, 오장동, 주교동, 충무로5가, 창경궁로8, 창경궁로10, 창경궁로12, 창경궁로12-1, 창경궁로14, 창경궁로14-1, 창경궁로16, 창경궁로16-1, 창경궁로18, 창경궁로18-1, 창경궁로40-1,창경궁로40-3, 창경궁로40-5, 창경궁로40-7, 창경궁로40-9, 창경궁로40-11, 창경궁로40-15, 창경궁로42, 창경궁로42-1, 창경궁로46, 창경궁로지하 51, 창경궁로지하52, 을지로지하178, 을지로지하184, 을지로지하185, 을지로지하186, 을지로지하186-3, 을지로지하186-5, 을지로지하186-7, 을지로지하186-8, 을지로지하186-10, 을지로지하186-11, 을지로지하186-12, 을지로지하186-14, 을지로지하187, 을지로지하187-1, 을지로지하188, 을지로지하189, 을지로지하189-9, 을지로지하189-12, 을지로지하189-14, 을지로지하189-16, 을지로지하189-24, 을지로지하190, 을지로지하190-1, 을지로지하190-2, 을지로지하191, 을지로지하191-5, 을지로지하191-7, 을지로지하191-9, 을지로지하193, 을지로지하193-1, 을지로지하195, 을지로지하195-2, 을지로지하196, 을지로지하196-1, 을지로지하197, 을지로지하197-1, 을지로지하197-2, 을지로지하197-3, 을지로지하198, 을지로지하199, 을지로지하199-1, 을지로지하199-2, 을지로지하201, 을지로지하218, 을지로27길, 을지로28길, 을지로30길, 을지로33길, 을지로5가, 을지로6가, 을지로7가, 광희동1가, 퇴계로, 퇴계로53길, 퇴계로45길, 마른내로96"
2,1,1,1,1,4,서울 중구 필동1가 20-5,37.560861,126.991544,충무,"필동1가, 필동2가, 필동3가, 주차동, 남학동, 삼일대로231, 삼일대로298, 삼일대로300, 삼일대로300-1, 삼일대로302, 삼일대로304, 삼일대로308, 삼일대로2길, 삼일대로4길, 삼일대로6길, 삼일대로8길, 수표로3, 수표로3-1, 수표로3-5, 수표로3-6, 수표로3-8, 수표로5, 수표로79, 수표로11, 수표로11-1, 수표로11-2, 수표로13, 수표로15, 수표로15-1, 충무로3가, 충무로4가, 서애로2, 서애로6, 서애로10-1, 서애로12, 서애로12-4, 서애로12-6, 서애로12-14, 서애로12-10, 서애로12-8, 서애로12-20, 퇴계로157, 퇴계로159-10, 퇴계로159-8, 퇴계로159-6, 퇴계로161, 퇴계로163, 퇴계로163-1, 퇴계로165-1, 퇴계로212, 퇴계로232, 퇴계로238-10, 퇴계로238-12, 퇴계로232-19, 퇴계로232-11, 퇴계로232-13, 퇴계로232-15, 퇴계로232-25, 퇴계로232-27, 퇴계로232-37, 퇴계로20나길, 퇴계로26길, 퇴계로26가길, 퇴계로44길, 퇴계로30길, 퇴계로32길, 퇴계로44길, 필동로6길, 필동로8길, 필동로8가길, 남산공원길125-72, 남산공원길125-54, 남산공원길507, 남산공원길609, 남산공원길627, 소파로89, 소파로91, 소파로91-1, 소파로91-3, 소파로91-7, 소파로91-9, 소파로91-10, 소파로91-11, 소파로91-13, 소파로93, 소파로95, 소파로97, 소파로103, 소파로105-1, 소파로107, 소파로126, 소파로130, 소파로138, 소파로140, 소파로142, 소파로148-10 , 소파로2길, 소파로4길, 장충2가"
1,1,2,2,2,1,서울 중구 회현동 퇴계로 52,37.55827,126.978577,회현,"남대문로5가, 남창동, 소월로31, 소월로31-1, 소월로33, 소월로35, 소월로37, 소월로37-1, 소월로39, 소월로39-1, 소월로39-2, 소월로1길, 소파로23, 퇴계로32, 퇴계로34, 퇴계로36, 퇴계로38, 퇴계로42, 퇴계로42-1, 퇴계로42-2, 퇴계로42-3, 퇴계로46-1, 퇴계로46-2, 퇴계로46-4, 퇴계로46-10, 퇴계로48, 퇴계로48-1, 퇴계로2길, 퇴계로4길, 퇴계로6길, 퇴계로6가길, 회현동1가, 회현동2가, 소공로25, 소공로27, 소공로27-1, 소공로29, 소공로51, 소공로1길, 소공로3길, 소공로7길"
2,1,2,4,3,2,서울 중구 회현동 남대문시장4길 28-16,37.559008,126.976325,남대문,"남대문로3가, 남대문로4가, 남창동, 충무로1가, 남대문로42, 남대문로34, 남대문로34-1, 남대문로36, 남대문로40, 소공로63, 소공로지하58, 퇴계로77, 회현동1가, 남대문시장길, 남대문시장8길, 남대문시장10길, 퇴계로65, 퇴계로67, 퇴계로69, 퇴계로71, 퇴계로지하54, 세종대로40"
1,1,2,3,1,1,서울 중구 장충동 동호로 261,37.558753,127.004795,장충,"서애로2, 서애로3, 서애로6, 서애로1길, 장충1가, 동호로229, 동호로231, 동호로233, 동호로233-3, 동호로233-10, 동호로235-14, 동호로241, 동호로249 동호로지하256, 동호로지하257-10, 동호로지하268-8, 동호로지하268-10, 동호로지하276-11, 동호로24길, 동호로25길, 동호로25가길, 동호로27길, 동호로28길, 퇴계로52길, 동호로30길, 장충단로59, 장충단로84, 장충단로86, 장충단로88, 장충단로91, 필동로79, 필동로67-3, 필동로1길, 필동로3길, 필동로5길, 퇴계로46길, 퇴계로48길, 퇴계로50길, 퇴계로50가길, 퇴계로56길, 서애로, 서애로1길, 장충1가, 동호로, 퇴계로244, 퇴계로246, 퇴계로248, 퇴계로250, 퇴계로252, 퇴계로252-1, 퇴계로252-2, 퇴계로254, 퇴계로254-1, 퇴계로256, 퇴계로256-1, 퇴계로258, 퇴계로258-1, 퇴계로260, 퇴계로262, 퇴계로262-1, 퇴계로264, 퇴계로266, 퇴계로268, 퇴계로270, 퇴계로272, 퇴계로56가길, 장충단로8가길, 장충단로8나길, 장충단로10길, 장충동1가, 목정동, 쌍림동"
