전체,살인,강도,절도,폭력,성폭력,구,주소,위도,경도,지구대,관할구역
5,4,5,4,3,5,강서구,서울특별시 강서구 화곡6동 980-15,37.551669,126.849931,화곡,"화곡6동, 화곡동, 화곡본동"
3,3,2,4,4,4,강서구,서울특별시 강서구 화곡4동 776-4,37.532921,126.86311,곰달래,"화곡2동, 화곡4동, 화곡8동, 화곡동, 화곡본동"
4,5,4,3,3,4,강서구,서울특별시 강서구 방화2동 620-111,37.56238,126.808292,공항,"공항동, 괴해동, 오곡동, 오쇠동, 방화1동, 방화2동, 개화동, 방화동"
4,3,3,5,4,5,강서구,서울특별시 강서구 화곡동 901-15,37.529321,126.845806,까치산,"화곡1동, 화곡동"
4,4,3,4,3,5,강서구,서울특별시 강서구 등촌3동 706-1,37.559256,126.850118,가양,"가양1동, 가양2동, 가양3동, 등촌3동, 가양동, 등촌동"
3,4,1,3,2,3,강서구,서울특별시 강서구 발산1동 수명로2길 46,37.549339,126.826065,발산,"발산1동, 발산동, 우장산동"
3,1,2,3,2,4,강서구,서울특별시 강서구 염창동 272-28,37.551902,126.86738,염창,"염창동, 등촌1동, 등촌동"
2,3,1,4,2,2,강서구,서울특별시 강서구 화곡6동 980-15,37.544632,126.835207,화곡3,"화곡3동, 화곡동"
2,2,1,4,3,2,강서구,서울특별시 강서구 등촌동 등촌로 167,37.54487,126.861892,등촌2,"등촌2동, 등촌동"
2,1,1,2,2,2,강서구,서울특별시 강서구 방화3동 822,37.57978,126.814683,방환3,"방화3동, 방화동"
4,3,4,3,4,4,양천구,서울특별시 양천구 목5동 목동동로 373,37.535126,126.878452,목1,"목1동, 목동, 목5동"
3,1,2,2,3,4,양천구,서울특별시 양천구 목3동 657-23,37.54455,126.862336,목2,"목3동, 목2동, 목4동, 목동"
3,1,2,3,2,3,양천구,서울특별시 양천구 신정1동 1021-8,37.520378,126.860783,신정1,"신정1동, 신정6동, 신정7동, 신정3동, 신정동, 중앙로34길"
5,3,5,5,3,5,양천구,서울특별시 양천구 신정4동 997-3,37.524467,126.863548,신정2,"신정4동, 신정2동, 목동로8길, 오목로52길, 목동돌로12길, 목동동로14길, 오목로54길 오목로56길, 신목로2길"
4,4,2,4,2,4,양천구,서울특별시 양천구 신월1동 132-3,37.532079,126.832284,신월2,"신월6동, 신월7동, 신월2동, 신월4동, 신월동"
5,3,4,2,3,4,양천구,서울특별시 양천구 신월7동 988-1,37.520544,126.834378,신월1,"신월1동, 신월3동, 신월동"
2,1,3,2,2,2,양천구,서울특별시 양천구 신월5동 59-5,37.539058,126.830645,신월5,"신월5동, 남부순환로30길, 남부순환로35길, 가로공월로55길, 가로공원로61길"
3,2,1,2,3,3,양천구,서울특별시 양천구 신정3동 1259,37.514924,126.855,신정3,"신정3동, 신정동"
4,3,3,3,3,4,노원구,서울 노원구 노원로17길 64,37.6420141,127.068345,당현,"중계2동, 중계3동, 중계동, 하계1동, 하계2동, 하계동"
4,3,2,2,2,5,노원구,서울 노원구 월계로55길 58,37.6336489,127.059252,월계,"월계1동, 월계2동, 월계3동, 월계동"
5,3,5,2,3,5,노원구,서울 노원구 동일로 1034,37.6225493,127.074558,화랑,"공릉1동, 공릉2동, 공릉3동, 공릉동"
5,2,4,2,4,5,노원구,서울 노원구 노원로 431,37.654989,127.066918,노원역,"상계2동, 상계6동, 상계7동, 상계동"
2,3,3,2,2,2,노원구,서울 노원구 한글비석로 277,37.652415,127.077307,불암,"중계1동, 중계4동, 중계동, 중계본동"
3,2,5,3,2,2,노원구,서울 노원구 상계로35길 29,37.6714703,127.077836,상계4,"상계3동, 상계4동, 상계동"
2,4,2,3,3,2,노원구,서울 노원구 한글비석로 489,37.6645682,127.06356,마들,"상계5동, 상계8동, 상계9동, 상계10동, 상계동"
3,3,3,2,3,3,노원구,서울 노원구 동일로 1693,37.6796547,127.055025,상계1,"상계1동, 상계동"
1,1,3,1,1,1,성북구,서울 성북구 화랑로32가길 20,37.6089548,127.055235,석관,석관동
4,3,2,1,2,3,성북구,서울 성북구 화랑로19가길 20-24,37.6103171,127.051306,장위,장위동
3,2,3,1,1,4,성북구,서울 성북구 종암로32길 5,37.6043861,127.03239,월곡,"상월곡동, 하월곡동, 길음2동, 길음동"
2,3,1,1,2,2,성북구,서울 성북구 종암로 88,37.5981775,127.035071,종암,종암동
3,3,2,4,4,3,성북구,서울 성북구 솔샘로 111,37.6160667,127.008586,돈암,"동선동, 동소문동1가, 동소문동4가, 돝소문동5가, 동소문동6가, 동소문동7가, 돈암2동, 돈암동"
2,2,1,2,2,2,성북구,서울 성북구 정릉로26길 6,37.6045519,127.010703,안암,"안암동, 보문동, 삼선동, 동소문동2가, 동소문동3가, 종암로13, 보문동1가, 보문동2가, 보문동3가, 보문동4가, 보문동5가, 보문동6가, 보문동7가, 삼선동1가, 삼선동2가, 삼선동3가, 삼선동4가, 삼선동5가, 동소문동2가, 동소문동3가"
4,4,1,4,5,4,성북구,서울 성북구 삼양로13길 51,37.6106146,127.01922,길음,"길음1동, 정릉1동, 돈암1동, 길음동, 정릉동, 돈암동"
5,2,3,4,3,5,성북구,서울 성북구 아리랑로5길 54,37.5973439,127.012401,정릉,"정릉3동, 정릉4동, 정릉동"
5,1,3,3,3,5,성북구,서울 성북구 보문로29길 33,37.5866938,127.016475,정릉2,"정릉2동, 정릉동, 북안산로637, 북안산로1길 137"
1,3,2,1,1,1,성북구,서울 성북구 성북로 94,37.5936413,126.998257,성북,성북동
5,2,3,3,2,5,도봉구,서울 도봉구 노해로 392,37.652251,127.05174,창동,"창1동, 창4동, 창5동, 창동"
3,1,4,4,1,3,도봉구,서울 도봉구 도봉로104길 49-5,37.643505,127.034649,신창,"창2동, 창3동, 창동"
4,2,2,2,1,5,도봉구,서울 도봉구 도봉로145길 45,37.664495,127.040012,방학,"방학1동, 방학동"
2,3,1,2,1,2,도봉구,서울 도봉구 방학로3길 132,37.657565,127.038072,쌍문,"쌍문2동, 쌍문4동, 쌍문동"
2,1,3,4,1,1,도봉구,서울 도봉구 시루봉로5길 10,37.65847,127.027098,신방학,"방학3동, 방학2동, 방학동"
1,1,3,1,1,2,도봉구,서울 도봉구 도봉로169길 43,37.679442,127.043406,도봉1,"도봉1동, 도봉동"
4,2,1,2,1,4,도봉구,서울 도봉구 도봉로180나길 33,37.683981,127.049263,도봉2,"도봉2동, 도봉동"
2,1,4,2,1,3,도봉구,서울 도봉구 노해로 139,37.647471,127.025578,승미,"쌍문1동, 쌍문3동, 쌍문동"
2,2,2,1,1,2,은평구,서울 은평구 진흥로 200,37.608748,126.931835,녹번,녹번동
4,2,4,1,1,4,은평구,서울 은평구 은평터널로5길 6,37.591832,126.90536,신사,"신사동, 증산동, 수색동"
3,1,1,2,3,3,은평구,서울 은평구 은평로171,37.601618,126.926444,응암,응암동
1,3,3,3,2,1,은평구,서울 은평구 응암로 208,37.590505,126.91753,응암2,"응암로14길, 응암로16길, 가좌로9길, 불관천길, 응암로2길, 응암로4길, 응암로5길, 응암로7길, 응암로9길, 응암로13길, 응암로14길, 응암로16길"
4,4,2,1,1,3,은평구,서울 은평구 연서로 290,37.621389,126.926586,불광,"불광1동, 불광2동, 불광동"
5,3,3,3,1,5,은평구,서울 은평구 갈현로 195,37.615182,126.912671,연신내,"갈현1동, 갈현2동, 갈현동, 구산동"
1,1,1,1,1,1,은평구,서울 은평구 진관3로 38,37.639913,126.920888,진관,진관동
2,2,3,1,1,2,은평구,서울 은평구 연서로 61,37.604576,126.915084,역촌,역촌동
3,2,3,1,1,4,은평구,서울 은평구 통일로 737,37.611115,126.929002,대조,대조동