연번,지방청,경찰서,관서명,구분,치안센터명,주소
508,충북청,영동,학산,파출소,양산치안센터,충북 영동군 양산면 금강로1516
509,충북청,영동,양강,파출소,용화치안센터,충북 영동군 용화면 용화양강로 18
510,충북청,영동,상촌,파출소,매곡치안센터,충북 영동군 매곡면 민주지산로 3571
511,충북청,괴산,증평,지구대,도안치안센터,충북 증평군 도안면 화성로 85
512,충북청,괴산,괴산,지구대,소수치안센터,충북 괴산군 소수면 소수로6길 1
513,충북청,괴산,청천,파출소,송면치안센터,충북 괴산군 청천면 문장로 3102
514,충북청,괴산,연풍,파출소,장연치안센터,충북 괴산군 장연면 미선로 778
515,충북청,괴산,청안,파출소,사리치안센터,충북 괴산군 사리면 모래재로 339
516,충북청,괴산,불정,파출소,감물치안센터,충북 괴산군 감물면 감물로 64
517,충북청,단양,매포,파출소,적성치안센터,충북 단양군 적성면 금수산로 957-1
518,충북청,단양,가곡,파출소,어상천치안센터,충북 단양군 어상천면 어상천로 956
519,충북청,단양,대강,파출소,단성치안센터,충북 단양군 단성면 월악로 4660
520,충북청,보은,읍내,지구대,산외치안센터,충북 보은군 산외면 구티1길 1(구티리)
521,충북청,보은,읍내,지구대,수한치안센터,충북 보은군 수한면 안내보은로 896(묘서리)
522,충북청,보은,마로,파출소,탄부치안센터,충북 보은군 탄부면 하장2길 9(하장리)
523,충북청,보은,마로,파출소,장안치안센터,충북 보은군 장안면 보청대로 1056(개안리)
524,충북청,보은,회인,파출소,회남치안센터,충북 보은군 회남로 1940(조곡리)
525,충북청,옥천,중앙,지구대,군서치안센터,충북 옥천군 군서면 성왕로 545
526,충북청,옥천,안내,파출소,안남치안센터,충북 옥천군 안남면 연주길 17
527,충북청,진천,상산,지구대,사석치안센터,충북 진천군 진천읍 문진로 1042
528,충북청,진천,상산,지구대,문백치안센터,충북 진천군 문백면 문진로 469-5
529,충북청,진천,상산,지구대,백곡치안센터,충북 진천군 백곡면 장터길 16-22
530,충남청,천안동남,목천북면,파출소,북면치안센터,충남 천안시 동남구 목천읍 서리1길 150
531,충남청,천안동남,병천동면,파출소,동면치안센터,충남 천안시 동남구 동면 동산1길 39
532,충남청,천안동남,수신성남,파출소,성남치안센터,충남 천안시 동남구 성남면 신사대화로 153
533,충남청,천안동남,광덕풍세,파출소,풍세치안센터,충남 천안시 동남구 풍세면 풍년길 27
534,충남청,서산,대산,지구대,지곡치안센터,서산시 지곡면 화천1로 98
535,충남청,서산,동부,파출소,음암치안센터,서산시 음암면 운암로 385
536,충남청,서산,해미,파출소,고북치안센터,서산시 고북면 고북1로 298
537,충남청,서산,해미,파출소,운산치안센터,서산시 운산면 운암로 1042
538,충남청,태안,안면,파출소,고남치안센터,태안군 고남면 빗독1길 42-1
539,충남청,서산,부석,파출소,인지치안센터,서산시 인지면 무학로 1675
540,충남청,태안,원북,파출소,이원치안센터,태안군 이원면 원이로 1542
541,충남청,아산,온양,지구대,온주치안센터,아산시 외암로 1413
542,충남청,아산,온양,지구대,송악치안센터,아산시 송악면 송악로 793
543,충남청,아산,탕정,파출소,염치치안센터,아산시 염치읍 염성길 101
544,충남청,아산,도고선장,파출소,선장치안센터,아산시 선장면 서부남로 13
545,충남청,논산,논산,지구대,은진치안센터,충청남도 논산시 은진면 매죽헌로 23
546,충남청,논산,연무,지구대,채운치안센터,충청남도 논산시 채운면 계백로588번길 57
547,충남청,논산,연무,지구대,가야곡치안센터,충청남도 논산시 가야곡면 덕은로 21
548,충남청,논산,강경,지구대,광석치안센터,충청남도 논산시 광석면 광석로 99
549,충남청,논산,강경,지구대,성동치안센터,충청남도 논산시 성동면 성동로 264
550,충남청,논산,계룡,지구대,벌곡치안센터,충청남도 논산시 벌곡면 황룡재로 592
551,충남청,논산,연산,파출소,부적치안센터,충청남도 논산시 부적면 계백로 1378
552,충남청,논산,상월,파출소,노성치안센터,충청남도 논산시 노성면 논산평야로 1463
553,충남청,공주,신관,지구대,의당치안센터,공주시 의당로 323
554,충남청,공주,금학,지구대,왕릉치안센터,공주시 봉황로 172
555,충남청,공주,유구,지구대,신풍치안센터,공주시 신풍길 93-2
556,충남청,공주,탄천이인,파출소,탄천치안센터,공주시 통산로 162
557,충남청,공주,반포,파출소,동학사치안센터,공주시 동학사1로 273
558,충남청,공주,우성사곡,파출소,사곡치안센터,공주시 동대리길 75
559,충남청,보령,동대,지구대,청라치안센터,충남 보령시 청라면 원모루길 219
560,충남청,보령,해수욕장,지구대,남포치안센터,충남 보령시 남포면 충서로1846
561,충남청,보령,해수욕장,지구대,원산도치안센터,충남 보령시 오천면 원산도 3길
562,충남청,보령,해수욕장,지구대,장고도치안센터,충남 보령시 오천면 장고도1길 29
563,충남청,보령,해수욕장,지구대,외연도치안센터,충남 보령시 오천면 외연도1길 102
564,충남청,보령,해수욕장,지구대,호도치안센터,충남 보령시 오천면 호도길10-16
565,충남청,보령,해수욕장,지구대,고대도치안센터,충남 보령시 오천면 고대도2길 60
566,충남청,보령,해수욕장,지구대,삽시도치안센터,충남 보령시 오천면 삽시도길 168-12
567,충남청,보령,해수욕장,지구대,녹도치안센터,충남 보령시 오천면 녹도2길 4
568,충남청,보령,웅천,파출소,주산치안센터,충남 보령시 주산면 충서로410-5
569,충남청,보령,주포,파출소,주교치안센터,충남 보령시 주교면 울계큰길 364
570,충남청,보령,주포,파출소,청소치안센터,충남 보령시 청소면 청소큰길 137
571,충남청,당진,합덕,파출소,우강치안센터,우강면 평야2로 52
572,충남청,당진,석문,파출소,고대치안센터,충남 당진시 고대면 구장터길5
573,충남청,당진,석문,파출소,정미치안센터,충남 당진시 정미면 천의길 2
574,충남청,당진,석문,파출소,대호지치안센터,충남 당진시 대호지면 4.4만세로 35
575,충남청,당진,석문,파출소,대난지도치안센터,충남 당진시 난지1길 359
576,충남청,당진,송악,파출소,기지시치안센터,충남 당진시 송악읍 기지시 1길 42
577,충남청,세종,조치원,지구대,연서치안센터,세종시 연서면 당산로 347
578,충남청,세종,한솔,파출소,장군치안센터,세종시 장군면 장척로 393
579,충남청,세종,전의,파출소,소정치안센터,세종시 소정면 소정구길 160
580,충남청,홍성,오관,지구대,구항치안센터,충남 홍성군 구항면 구항길61번길 5 구항치안센터
581,충남청,홍성,광천,지구대,은하치안센터,충남 홍성군 은하면 은하로 246 은하치안센터
582,충남청,홍성,서부결성,파출소,결성치안센터,충남 홍성군 결성면 홍남서로 733 결성치안센터
583,충남청,홍성,홍동장곡,파출소,장곡치안센터,충남 홍성군 장곡면 홍남동로 471 장곡치안센터
584,충남청,예산,예산,지구대,읍내치안센터,충남 예산군 예산로 194
585,충남청,예산,삽교,지구대,오가치안센터,충남 예산군 오가면 오가중앙로 159-6
586,충남청,예산,삽교,지구대,응봉치안센터,충남 예산군 응봉면 응봉로 165
587,충남청,예산,덕산,지구대,고덕치안센터,충남 예산군 고덕면 고덕중앙로 56
588,충남청,예산,덕산,지구대,봉산치안센터,충남 예산군 봉산면 봉산로 367
589,충남청,예산,신례원신암,파출소,신암치안센터,충남 예산군 신암면 추사고택로 2
590,충남청,예산,대술신양,파출소,신양치안센터,충남 예산군 신양면 청신로 368
591,충남청,예산,광시대흥,파출소,대흥치안센터,충남 예산군 대흥면 예당로 859
592,충남청,부여,홍산,파출소,옥산치안센터,부여군 옥산면 안골로 1
593,충남청,부여,임천,파출소,양화치안센터,부여군 양화면 입포로53번길 10-3
594,충남청,부여,임천,파출소,충화치안센터,부여군 충화면 팔충로 766
595,충남청,부여,세도,파출소,장암치안센터,부여군 장암면 장암로 7
596,충남청,부여,구룡,파출소,남면치안센터,부여군 남면 남성로 422
597,충남청,부여,석성,파출소,초촌치안센터,부여군 초촌면 초촌로 37
598,충남청,부여,외내산,파출소,내산치안센터,부여군 내산면 성충로 1012
599,충남청,서천,서림,지구대,시초치안센터,충청남도 서천군 시초면 시초북로 21
600,충남청,서천,서림,지구대,기산치안센터,충청남도 서천군 기산길 70-2
601,충남청,서천,판교,파출소,문산치안센터,충청남도 서천군 문산면 신농길24번길 7
602,충남청,서천,한산,파출소,마산치안센터,충청남도 서천군 마산면 삼일로265번길 15
603,충남청,서천,비인,파출소,종천치안센터,충청남도 서천군 종천면 충서로 442
604,충남청,서천,마서,파출소,화양치안센터,충청남도 서천군 화양면 옥포길8번길 12
605,충남청,금산,진악,지구대,금성치안센터,금성면 진산로 367
606,충남청,금산,진악,지구대,남이치안센터,남이면 진악로 5
607,충남청,금산,봉황,지구대,군북치안센터,군북면 군북로 722
608,충남청,금산,봉황,지구대,부리치안센터,부리면 무금로 1630
609,충남청,금산,봉황,지구대,남일치안센터,남일면 금산로 494
610,충남청,청양,칠갑,지구대,대치치안센터,대치면 칠갑산로495
611,충남청,청양,정산,지구대,목면치안센터,목면 안심길 170  
612,충남청,청양,장평청남,파출소,청남치안센터,청남면 명덕로 225
613,충남청,청양,장평청남,파출소,미당치안센터,장평면 미당큰길 57
614,충남청,청양,화성남양,파출소,남양치안센터,남양면 만수로 1609
615,전북청,전주완산,서신,지구대,서곡치안센터,전주시 완산구 세내로 552
616,전북청,군산,개야도,파출소,연도치안센터,옥도면 연도1길 24
617,전북청,군산,선유도,파출소,비안도치안센터,옥도면 비안도2길 15
618,전북청,군산,선유도,파출소,관리도치안센터,옥도면 관리도길 56-8
619,전북청,군산,선유도,파출소,방축도치안센터,옥도면 방축도1길 16
620,전북청,군산,선유도,파출소,명도치안센터,옥도면 명도길 21-8
621,전북청,군산,선유도,파출소,말도치안센터,옥도면 말도길 119
622,전북청,군산,비응,파출소,야미도치안센터,옥도면 야미도2길 20
623,전북청,군산,비응,파출소,신시도치안센터,옥도면 신시도3길 45
624,전북청,군산,나운,지구대,문화치안센터,군산시 팔마로 60
625,전북청,익산,중앙,지구대,남중치안센터,익산시 익산대로 52길 43
626,전북청,익산,부송,지구대,팔봉치안센터,익산시 무왕로 1415
627,전북청,익산,부송,지구대,신흥치안센터,익산시 선화로 429
628,전북청,익산,평화,지구대,마동치안센터,익산시 중앙로 13길 34
629,전북청,익산,평화,지구대,목천치안센터,익산시 번영로 2048-5
630,전북청,익산,신동,지구대,영등치안센터,익산시 인북로 302
631,전북청,정읍,상동,지구대,공원치안센타,정읍시 내장산로 930-5
632,전북청,정읍,상동,지구대,내장치안센타,정읍시 대식길 30
633,전북청,정읍,신태인,파출소,정우치안센타,정읍시 정우면 정신로 592
634,전북청,정읍,신태인,파출소,화호치안센타,정읍시 신태인읍 석지로 225
635,전북청,정읍,태인,파출소,옹동치안센타,정읍시 옹지동촌로 201번지
636,전북청,정읍,고부,파출소,영원치안센타,정읍시 고부면 영주로 542
637,전북청,정읍,이평,파출소,덕천치안센타,정읍시 덕천면 황토현로 304
638,전북청,남원,중앙,지구대,노암치안센터, 남원시 쑥고개로 55
639,전북청,남원,중앙,지구대,신정치안센터, 남원시 남문로 271
640,전북청,남원,중앙,지구대,동충치안센터, 남원시 용성로 96-3
641,전북청,남원,도통,지구대,주천치안센타, 남원시 정령치로 93
642,전북청,남원,도통,지구대,산동치안센타, 남원시 요천로 2917
643,전북청,남원,도통,지구대,이백치안센타, 남원시 과리길 7
644,전북청,남원,사매,파출소,대산치안센타,남원시 운교1길 22
645,전북청,남원,보절,파출소,덕과치안센타, 남원시 덕과로 4
646,전북청,남원,금지,파출소,주생치안센타,남원시 요천로 823
647,전북청,남원,송동,파출소,수지치안센타, 남원시 고주로 620
648,전북청,김제,월촌,지구대,요촌치안센터,김제시 동서3길 57
649,전북청,김제,월촌,지구대,부량치안센터,김제시 벽골제로 202
650,전북청,김제,신풍,지구대,역전치안센터,김제시 두월로 194
651,전북청,김제,신풍,지구대,황산치안센터,김제시 황산면 용마로 124
652,전북청,김제,만경,파출소,청하치안센터,김제시 청하면 만경로 1499
653,전북청,김제,죽산,파출소,성덕치안센터,김제시 성덕면 지평선로 88
654,전북청,김제,진봉,파출소,광활치안센터,김제시 광활면 광활11길 38
655,전북청,완주,봉동,파출소,비봉치안센터,완주군 비봉면 천호로 566
656,전북청,완주,소양,파출소,동상치안센터,완주군 동상면 동상로 1407
657,전북청,고창,모양,지구대,고수치안센터 ,고창군 고수면 고인돌대로 1406
658,전북청,고창,해리,파출소,상하치안센터,고창군 상하면 상하로 84
659,전북청,고창,해리,파출소,심원치안센터,고창군 심원면 심원로 207
660,전북청,고창,흥덕,파출소,성내치안센터,고창군 성내면 시기1길 61
661,전북청,고창,흥덕,파출소,신림치안센터,고창군 신림면 신림로 178
662,전북청,부안,서림,지구대,동진치안센터,부안군 동진로 106
663,전북청,부안,서림,지구대,백산치안센터,부안군 백산로 339
664,전북청,부안,서림,지구대,행안치안센터, 부안군 변산로 117
665,전북청,부안,격포,파출소,변산치안센터,부안군 지서로 69
666,전북청,부안,위도,파출소,식도치안센터, 부안군 식도1길 4-5
667,전북청,임실,오수,지구대,삼계치안센터,임실군 삼계면 충효로 1286
668,전북청,임실,오수,지구대,성수치안센터, 임실군 성수면 임진로 176
669,전북청,임실,오수,지구대,지사치안센터, 임실군 지사면 충효로 2413
670,전북청,임실,운수,파출소,청웅치안센터, 임실군 청웅면 청웅로 193
671,전북청,임실,관촌,파출소,신덕치안센터, 임실군 신덕면 수리로 97
672,전북청,임실,강진,파출소,덕치치안센터, 임실군 덕치면 인덕로 1395
673,전북청,임실,신평,파출소,운암치안센터, 임실군 운암면 상운길 58
674,전북청,순창,남계,파출소,유등치안센터,순창군 유등면 유등로 385
675,전북청,순창,순화,파출소,풍산치안센터,순창군 풍산면 금풍로 1027
676,전북청,순창,팔덕,파출소,금과치안센터,순창군 금과면 금풍로 5
677,전북청,순창,적성,파출소,인계치안센터,순창군 인계면 인덕로 221
678,전북청,진안,마이,파출소,상전치안센터,진안군 상전면 진성로 246
679,전북청,진안,동향,파출소,안천치안센터,진안군 안천면 노성리 692-2
680,전북청,진안,주천,파출소,용담치안센터,진안군 용담면 송풍리 903-7
681,전북청,장수,장계,파출소,계남치안센타,장수군 계남면 장수로 3073
682,전북청,무주,적상,파출소,괴목치안센터, 무주군 적상면 괴목로 542
683,전남청,목포서,역전,파출소,달리도치안센터,전남 목포시 달리길 361
684,전남청,목포서,역전,파출소,율도치안센터,전남 목포시 율도안길 1-4
685,전남청,목포서,흑산,파출소,다물도치안센터,전남 신안군 흑산면 다믈도길 33-21
686,전남청,목포서,흑산,파출소,대둔도치안센터,전남 신안군 흑산면 김이수길 18-2
687,전남청,목포서,흑산,파출소,영산도치안센터,전남 신안군 흑산면 영산길 19-9
688,전남청,목포서,흑산,파출소,하태도치안센터,전남 신안군 흑산면 장굴길 49-1
689,전남청,목포서,흑산,파출소,홍도치안센터,전남 신안군 흑산면 홍도리 185
690,전남청,목포서,가거,파출소,만재도치안센터,전남 신안군 흑산면 만재도리 산68-8
691,전남청,목포서,안좌,파출소,자라도치안센터,전남 신안군 안좌면 자라길 6-3
692,전남청,목포서,안좌,파출소,사치도치안센터,전남 신안군 안좌면 사치도길 19
693,전남청,목포서,압해,파출소,고이도치안센터,전남 신안군 압해도 고이길 32
694,전남청,목포서,비금,파출소,수치도치안센터,전남 신안군 비금면 수치도길 225-6
695,전남청,목포서,도초,파출소,우이도치안센터,전남 신안군 도로면 우이진리길 34-5
696,전남청,목포서,장산,파출소,마진도치안센터,전남 신안군 장산면 마진도길 26
697,전남청,목포서,임자,파출소,재원도치안센터,전남 신안군 임자면 재원길 23-33
698,전남청,목포서,암태,파출소,당사도치안센터,전남 신안군 암태면 당사도길 224
699,전남청,목포서,하의,파출소,옥도치안센터,전남 신안군 하의도 옥도길 33-46
700,전남청,목포서,지도,파출소,어의도치안센터,전남 신안군 지도읍 어의길 1-2
701,전남청,목포서,지도,파출소,선도치안센터,전남 신안군 지도읍 매계길 17
702,전남청,목포서,증도,파출소,병풍도치안센터,전남 신안군 증도면 병풍1길 42-6
703,전남청,목포서,압해,파출소,매화치안센터,전남 신안군 압해읍 매화길 700
704,전남청,목포서,압해,파출소,압해치안센터,전남 신안군 압해읍 압해로 283
705,전남청,여수서,쌍봉,지구대,무선치안센터,전남 여수시 성산로 43
706,전남청,여수서,쌍봉,지구대,안산치안센터,전남 여수시 소호로 644
707,전남청,여수서,봉산,파출소,대경도치안센터,전남 여수시 대경도2길 14
708,전남청,여수서,봉산,파출소,대교치안센터,전남 여수시 돌산읍 돌산로 3623
709,전남청,여수서,봉산,파출소,국동치안센터,전남 여수시 어항단지로 18
710,전남청,여수서,삼산,파출소,초도치안센터,전남 여수시 삼산면 대동길 10
711,전남청,여수서,삼산,파출소,손죽치안센터,전남 여수시 삼산면 평도길 42
712,전남청,여수서,화정,파출소,개도치안센터,전남 여수시 화정면 개도화산1길 4
713,전남청,여수서,화정,파출소,낭도치안센터,전남 여수시 화정면 여산길 75
714,전남청,여수서,돌산,파출소,월호치안센터,전남 여수시 화정면 월호골길 10
715,전남청,여수서,소라,파출소,여자치안센터,전남 여수시 화정면 여자대동길 29-4
716,전남청,여수서,화정,파출소,적금치안센터,전남 여수시 화정면 적금뒷등길 5-12
717,전남청,여수서,돌산,파출소,화태치안센터,전남 여수시 남면 달밭금길 53
718,전남청,여수서,남면,파출소,연도치안센터,전남 여수시 남면 연도리 1619-10
719,전남청,순천서,남도,파출소,상사치안센터,전남 순천시 상사면 상사호길 336
720,전남청,순천서,황전,파출소,월등치안센터,전남 순천시 월등면 월등로 552
721,전남청,순천서,송광,파출소,외서치안센터,전남 순천시 외서면 쌍향수길 476
722,전남청,나주서,봉황,파출소,다도치안센터,전남 나주시 다도면 다도로 767
723,전남청,나주서,영산,파출소,세지치안센터,전남 나주시 세지면 동창로 120
724,전남청,나주서,다시,파출소,문평치안센터,전남 나주시 문평면 안곡리 119-4
725,전남청,나주서,공산,파출소,동강치안센터,전남 나주시 동강면 동강로 569
726,전남청,나주서,왕곡,파출소,반남치안센터,전남 나주시 반남면 고본로 607
727,전남청,광양서,읍내,지구대,봉강치안센터,전남 광양시 봉강면 조양길 47
728,전남청,광양서,태금,파출소,진월치안센터,전남 광양시 진월면 선소중앙길 34
729,전남청,광양서,진상,파출소,다압치안센터,전남 광양시 다압면 섬진강매화로 2139
730,전남청,고흥서,읍내,파출소,두원치안센터,전남 고흥군 두원면 두원로 456
731,전남청,고흥서,녹동,파출소,도덕치안센터,전남 고흥군 도덕면 고흥로 481
732,전남청,고흥서,녹동,파출소,소록치안센터,전남 고흥군 도양읍 소록선창길 5
733,전남청,고흥서,녹동,파출소,시산치안센터,전남 고흥군 도양읍 시산살푸섬길 7-2
734,전남청,고흥서,과역,파출소,남양치안센터,전남 고흥군 남양면 남향희망길 5-4
735,전남청,고흥서,과역,파출소,탄포치안센터,전남 고흥군 남양면 우주항공길 4070
736,전남청,고흥서,봉래,파출소,동일치안센터,전남 고흥군 동일면 우주로 2613
737,전남청,해남서,옥천,파출소,계곡치안센터,전남 해남군 계곡면 해남로 1438
738,전남청,해남서,북평,파출소,북일치안센터,전남 해남군 북일면 만원길 26-8
739,전남청,무안서,현경,파출소,망운치안센터,전남 무안군 망운면 망운로 5
740,전남청,무안서,승달,파출소,몽탄치안센터,전남 무안군 몽탄면 몽탄로 846
741,전남청,장흥서,읍내,파출소,부산치안센터,전남 장흥군 부산면 부산로 3
742,전남청,장흥서,장평,파출소,유치치안센터,전남 장흥군 유치면 유치로 32
743,전남청,장흥서,장평,파출소,장동치안센터,전남 장흥군 장동면 흥성로 1568
744,전남청,보성서,읍내,파출소,웅치치안센터,전남 보성군 웅치면 일림로 1020
745,전남청,보성서,벌교,파출소,낙성치안센터,전남 보성군 벌교읍 채동선로 754
746,전남청,보성서,벌교,파출소,장도치안센터,전남 보성군 벌교읍 장도길 204-13
747,전남청,보성서,복내,파출소,문덕치안센터,전남 보성군 문덕면 장운길 50
748,전남청,보성서,예당,파출소,득량치안센터,전남 보성군 득량면 충위로 1498
749,전남청,보성서,겸백,파출소,율어치안센터,전남 보성군 율어면 율러로 554
750,전남청,보성서,미력,파출소,노동치안센터,전남 보성군 노동면 광곡길 19-2
751,전남청,영광서,읍내,지구대,불갑치안센터,전남 영광군 불갑면 함영로 2902
752,전남청,영광서,대마,파출소,묘량치안센터,전남 영광군 묘량면 묘량로 245-16
753,전남청,영광서,군남,파출소,군서치안센터,전남 영광군 군서면 성왕로 545
754,전남청,영광서,낙월,파출소,안마치안센터,전남 영광군 낙월면 안마길 22
755,전남청,영광서,읍내,지구대,원흥치안센터,전남 영광군 영광읍 영대4길 16
756,전남청,화순서,읍내,지구대,이십곡치안센터,전남 화순군 화순읍 화보로 4254
757,전남청,화순서,능주,파출소,춘양치안센터,전남 화순군 춘향면 춘향로 108
758,전남청,화순서,능주,파출소,한천치안센터,전남 화순군 한천면 한계1길 52
759,전남청,화순서,도곡,파출소,도암치안센터,전남 화순군 도암면 천태로 425
760,전남청,화순서,이양,파출소,청풍치안센터,전남 화순군 청풍면 평지촌길 28
